,scores
1000,999712.0
1001,999760.0
1002,999776.0
1003,-1286.0
1004,998353.0
1005,999776.0
1006,-2788.0
1007,999749.0
1008,999741.0
1009,998810.0
1010,999755.0
1011,998649.0
1012,999125.0
1013,999340.0
1014,998432.0
1015,999762.0
1016,998446.0
1017,998511.0
1018,999227.0
1019,999585.0
1020,999769.0
1021,998754.0
1022,-2810.0
1023,998712.0
1024,998817.0
1025,999037.0
1026,998904.0
1027,999021.0
1028,998448.0
1029,999755.0
1030,-771.0
1031,999260.0
1032,999739.0
1033,-2938.0
1034,998868.0
1035,999442.0
1036,999777.0
1037,999762.0
1038,999249.0
1039,998420.0
1040,999769.0
1041,999728.0
1042,999716.0
1043,998747.0
1044,-646.0
1045,998997.0
1046,999783.0
1047,998358.0
1048,999734.0
1049,998930.0
1050,998594.0
1051,-2552.0
1052,999083.0
1053,999108.0
1054,999395.0
1055,999762.0
1056,998502.0
1057,999755.0
1058,998939.0
1059,998964.0
1060,999720.0
1061,998833.0
1062,999226.0
1063,999755.0
1064,999762.0
1065,998411.0
1066,999540.0
1067,999797.0
1068,999538.0
1069,999536.0
1070,-618.0
1071,998619.0
1072,998351.0
1073,998444.0
1074,997420.0
1075,998896.0
1076,998424.0
1077,999013.0
1078,998047.0
1079,999033.0
1080,999487.0
1081,998823.0
1082,999783.0
1083,998578.0
1084,998981.0
1085,999741.0
1086,998245.0
1087,998698.0
1088,999207.0
1089,998208.0
1090,999746.0
1091,999773.0
1092,999553.0
1093,-747.0
1094,998947.0
1095,999790.0
1096,999776.0
1097,999410.0
1098,998635.0
1099,999762.0
1100,998089.0
1101,999748.0
1102,998886.0
1103,999388.0
1104,998523.0
1105,998845.0
1106,998353.0
1107,999734.0
1108,999298.0
1109,998957.0
1110,998532.0
1111,999762.0
1112,998299.0
1113,997711.0
1114,998207.0
1115,997613.0
1116,999395.0
1117,999724.0
1118,999605.0
1119,998684.0
1120,999090.0
1121,998903.0
1122,999772.0
1123,998971.0
1124,998593.0
1125,999755.0
1126,998117.0
1127,998705.0
1128,998233.0
1129,999487.0
1130,998369.0
1131,998388.0
1132,999625.0
1133,999767.0
1134,999414.0
1135,998236.0
1136,998922.0
1137,998383.0
1138,999769.0
1139,999375.0
1140,999748.0
1141,999713.0
1142,999234.0
1143,998383.0
1144,998754.0
1145,-2796.0
1146,998831.0
1147,-2800.0
1148,999713.0
1149,999409.0
1150,998502.0
1151,998978.0
1152,998262.0
1153,999776.0
1154,998594.0
1155,998180.0
1156,999692.0
1157,999769.0
1158,999790.0
1159,998516.0
1160,999783.0
1161,999579.0
1162,998899.0
1163,999060.0
1164,998593.0
1165,998198.0
1166,-2800.0
1167,998299.0
1168,-2816.0
1169,999776.0
1170,999409.0
1171,998502.0
1172,998950.0
1173,-2800.0
1174,999320.0
1175,999489.0
1176,998306.0
1177,999783.0
1178,999753.0
1179,999772.0
1180,998380.0
1181,998300.0
1182,999395.0
1183,999762.0
1184,999762.0
1185,998481.0
1186,998967.0
1187,998274.0
1188,-710.0
1189,999773.0
1190,999746.0
1191,998796.0
1192,999291.0
1193,997823.0
1194,999748.0
1195,999025.0
1196,-2800.0
1197,998782.0
1198,999670.0
1199,999465.0
1200,999676.0
1201,998929.0
1202,998936.0
1203,998383.0
1204,999769.0
1205,998096.0
1206,999417.0
1207,999769.0
1208,998843.0
1209,998283.0
1210,999769.0
1211,998964.0
1212,998982.0
1213,998669.0
1214,998306.0
1215,998523.0
1216,-586.0
1217,999783.0
1218,999269.0
1219,999718.0
1220,999768.0
1221,999769.0
1222,998957.0
1223,999356.0
1224,998429.0
1225,998327.0
1226,999466.0
1227,999790.0
1228,-2776.0
1229,999013.0
1230,999755.0
1231,999556.0
1232,999439.0
1233,998992.0
1234,998530.0
1235,998607.0
1236,999403.0
1237,997640.0
1238,998635.0
1239,999757.0
1240,998614.0
1241,999741.0
1242,-2936.0
1243,999570.0
1244,999730.0
1245,998099.0
1246,999754.0
1247,-1574.0
1248,998908.0
1249,999043.0
1250,999721.0
1251,999214.0
1252,999773.0
1253,999730.0
1254,998943.0
1255,998320.0
1256,999776.0
1257,999734.0
1258,999574.0
1259,998878.0
1260,998138.0
1261,999755.0
1262,999590.0
1263,998362.0
1264,998866.0
1265,999626.0
1266,999780.0
1267,999502.0
1268,999720.0
1269,999767.0
1270,999711.0
1271,998467.0
1272,999048.0
