,scores
949,-86.0
950,-89.0
951,-78.0
952,-110.0
953,-78.0
954,-110.0
955,-71.0
956,-89.0
957,-75.0
958,-96.0
959,-85.0
960,-80.0
961,-185.0
962,-113.0
963,-84.0
964,-108.0
965,-76.0
966,-89.0
967,-84.0
968,-109.0
969,-82.0
970,-76.0
971,-82.0
972,-88.0
973,-89.0
974,-80.0
975,-175.0
976,-77.0
977,-147.0
978,-75.0
979,-98.0
980,-80.0
981,-101.0
982,-85.0
983,-95.0
984,-110.0
985,-84.0
986,-117.0
987,-94.0
988,-108.0
989,-100.0
990,-84.0
991,-84.0
992,-90.0
993,-84.0
994,-84.0
995,-77.0
996,-237.0
997,-100.0
998,-86.0
999,-88.0
1000,-76.0
1001,-80.0
1002,-120.0
1003,-76.0
1004,-85.0
1005,-227.0
1006,-82.0
1007,-111.0
1008,-151.0
1009,-95.0
1010,-107.0
1011,-79.0
1012,-99.0
1013,-116.0
1014,-101.0
1015,-77.0
1016,-101.0
1017,-81.0
1018,-109.0
1019,-90.0
1020,-100.0
1021,-83.0
1022,-86.0
1023,-89.0
1024,-187.0
1025,-69.0
1026,-96.0
1027,-136.0
1028,-75.0
1029,-86.0
1030,-99.0
1031,-78.0
1032,-95.0
1033,-96.0
1034,-93.0
1035,-96.0
1036,-96.0
1037,-93.0
1038,-64.0
1039,-89.0
1040,-86.0
1041,-112.0
1042,-70.0
1043,-162.0
1044,-95.0
1045,-88.0
1046,-99.0
1047,-109.0
1048,-104.0
1049,-111.0
1050,-103.0
1051,-72.0
1052,-116.0
1053,-82.0
1054,-85.0
1055,-68.0
1056,-88.0
1057,-93.0
1058,-83.0
1059,-97.0
1060,-114.0
1061,-72.0
1062,-91.0
1063,-110.0
1064,-83.0
1065,-75.0
1066,-77.0
1067,-97.0
1068,-218.0
1069,-120.0
1070,-82.0
1071,-100.0
1072,-132.0
1073,-99.0
1074,-86.0
1075,-78.0
1076,-94.0
1077,-93.0
1078,-83.0
1079,-97.0
1080,-95.0
1081,-105.0
1082,-80.0
1083,-89.0
1084,-100.0
1085,-89.0
1086,-222.0
1087,-83.0
1088,-105.0
1089,-99.0
1090,-94.0
1091,-82.0
1092,-142.0
1093,-68.0
1094,-121.0
1095,-92.0
1096,-98.0
1097,-126.0
1098,-100.0
1099,-96.0
1100,-77.0
1101,-84.0
1102,-110.0
1103,-82.0
1104,-80.0
1105,-122.0
1106,-77.0
1107,-81.0
1108,-134.0
1109,-91.0
1110,-93.0
1111,-104.0
1112,-76.0
1113,-96.0
1114,-99.0
1115,-87.0
1116,-89.0
1117,-101.0
1118,-71.0
1119,-100.0
1120,-97.0
1121,-85.0
1122,-86.0
1123,-171.0
1124,-111.0
1125,-92.0
1126,-83.0
1127,-90.0
1128,-87.0
1129,-106.0
1130,-93.0
1131,-95.0
1132,-79.0
1133,-112.0
1134,-92.0
1135,-122.0
1136,-74.0
1137,-94.0
1138,-99.0
1139,-94.0
1140,-76.0
1141,-85.0
1142,-88.0
1143,-84.0
1144,-80.0
1145,-99.0
1146,-92.0
1147,-101.0
1148,-108.0
1149,-68.0
1150,-80.0
1151,-94.0
1152,-82.0
1153,-110.0
1154,-77.0
1155,-77.0
1156,-87.0
1157,-83.0
1158,-70.0
1159,-66.0
1160,-109.0
1161,-118.0
1162,-177.0
1163,-81.0
1164,-64.0
1165,-93.0
1166,-93.0
1167,-88.0
1168,-83.0
1169,-113.0
1170,-73.0
1171,-95.0
1172,-189.0
1173,-129.0
1174,-89.0
1175,-96.0
1176,-104.0
1177,-104.0
1178,-98.0
1179,-100.0
1180,-102.0
1181,-89.0
1182,-100.0
1183,-80.0
1184,-86.0
1185,-96.0
1186,-101.0
1187,-98.0
1188,-93.0
1189,-107.0
1190,-88.0
1191,-91.0
1192,-112.0
1193,-79.0
1194,-86.0
1195,-197.0
1196,-86.0
1197,-88.0
1198,-93.0
1199,-109.0
1200,-108.0
1201,-90.0
1202,-70.0
1203,-82.0
1204,-94.0
1205,-79.0
1206,-91.0
1207,-85.0
1208,-90.0
1209,-64.0
1210,-86.0
1211,-206.0
1212,-75.0
1213,-81.0
1214,-88.0
1215,-98.0
1216,-78.0
1217,-91.0
1218,-64.0
1219,-102.0
1220,-105.0
1221,-126.0
1222,-81.0
1223,-108.0
1224,-72.0
1225,-89.0
1226,-65.0
1227,-82.0
1228,-101.0
1229,-82.0
1230,-96.0
1231,-94.0
1232,-120.0
1233,-102.0
1234,-94.0
1235,-94.0
1236,-95.0
1237,-208.0
1238,-71.0
1239,-76.0
1240,-103.0
1241,-97.0
1242,-75.0
1243,-128.0
1244,-74.0
1245,-95.0
1246,-79.0
1247,-92.0
1248,-97.0
1249,-101.0
1250,-79.0
1251,-83.0
1252,-80.0
1253,-99.0
1254,-253.0
1255,-102.0
1256,-197.0
1257,-86.0
1258,-83.0
1259,-93.0
1260,-83.0
1261,-234.0
1262,-75.0
1263,-87.0
1264,-82.0
1265,-125.0
1266,-70.0
1267,-97.0
1268,-90.0
1269,-122.0
1270,-94.0
1271,-109.0
1272,-102.0
1273,-131.0
1274,-139.0
1275,-86.0
1276,-83.0
1277,-71.0
1278,-79.0
1279,-89.0
1280,-85.0
1281,-93.0
1282,-87.0
1283,-84.0
1284,-77.0
1285,-85.0
1286,-89.0
1287,-93.0
1288,-90.0
1289,-77.0
1290,-90.0
1291,-84.0
1292,-70.0
1293,-91.0
1294,-94.0
1295,-89.0
1296,-90.0
1297,-106.0
1298,-93.0
1299,-92.0
1300,-99.0
1301,-88.0
1302,-184.0
1303,-111.0
